,Epoch,TrainLoss,TrainN2NLossTrainWarpLoss,TrainTVLoss,ValLoss,ValN2NLoss,ValWarpLoss,ValTVLoss,Best Score
0,2,390.2524281293154,,67.94092152267694,542.9349429905415,537.561792541634,1.6818544139492917,32.75897645984183,100
1,4,313.2825680077076,,62.648707535117865,542.9282293400981,537.5568771904166,1.682311307046224,32.44245319034566,100
2,6,279.536583825298,,15.601720053540625,542.9283228110183,537.5579924068668,1.6823474010875956,32.328385436399415,100
3,8,239.8111020093379,,19.78116478447033,542.9311658848416,537.5623069703579,1.682154985081235,32.23983985795216,100
4,10,212.6696598198679,,51.559390914109024,542.9264967414465,537.559138102965,1.6822976705787536,32.047751020978794,100
5,12,418.92948374152184,,41.990824742242694,542.924802750349,537.5588065521284,1.6823776717170733,31.886849806390025,100
6,14,200.16088129745592,,54.64444454345438,542.9243926297535,537.5595858151262,1.6824725131631237,31.73853232609955,100
7,16,532.9419374465942,,16.59360993653536,542.9232195019722,537.5596816566858,1.6828160283198073,31.50952116332271,100
8,18,306.7772268601086,,58.590447611134984,542.9220125079155,537.5604836100881,1.6828447643836792,31.29904336211356,100
9,20,560.040295124054,,40.74691981077194,542.9190288890492,537.5586246902292,1.6828043656212024,31.19906313209371,100
10,22,495.87050990925894,,43.01668144762516,542.9225574162874,537.5630777667869,1.6828321518418803,31.0981674966487,100
11,24,205.5319139940871,,45.64264830615786,542.9223396561363,537.5631431286986,1.6829520463943481,31.033869959752668,100
12,26,612.0927333831787,,48.56898532145553,542.9233099249277,537.5646881081841,1.6829494058831849,30.976929574866187,100
